,feature,score,param
55,displacement_median,0.64,"{'C': 130.07590752091116, 'kernel': 'sigmoid', 'gamma': 840.0928317390265, 'degree': 2, 'coef0': 180.9049749343026, 'random_state': 42}"
56,displacement_variance,0.7066666666666667,"{'C': 827.8324673498736, 'kernel': 'sigmoid', 'gamma': 908.8061233136807, 'degree': 1, 'coef0': 681.5396471035893, 'random_state': 42}"
57,displacement_standard_deviation,0.7066666666666667,"{'C': 634.3934782974343, 'kernel': 'sigmoid', 'gamma': 861.556575965956, 'degree': 5, 'coef0': 578.4903131562496, 'random_state': 42}"
58,displacement_99th_percentile,0.72,"{'C': 258.36976113657875, 'kernel': 'sigmoid', 'gamma': 619.0145811338974, 'degree': 1, 'coef0': 693.1461360157659, 'random_state': 42}"
59,displacement_displacement_between_99th_percentile_and_1st_percentile,0.7333333333333333,"{'C': 81.64278887832253, 'kernel': 'sigmoid', 'gamma': 710.8868787313409, 'degree': 1, 'coef0': 794.2450407282748, 'random_state': 42}"
60,displacement_skewness,0.7866666666666666,"{'C': 0.5457333231291912, 'kernel': 'sigmoid', 'gamma': 907.7254550462658, 'degree': 4, 'coef0': 240.49539013029755, 'random_state': 42}"
61,displacement_kurtosis,0.7466666666666667,"{'C': 983.7802877722246, 'kernel': 'sigmoid', 'gamma': 950.5364305185767, 'degree': 3, 'coef0': 309.7627665425084, 'random_state': 42}"
62,velocity_max,0.7733333333333333,"{'C': 363.93237721003203, 'kernel': 'sigmoid', 'gamma': 171.15995393334148, 'degree': 4, 'coef0': 290.61892843946384, 'random_state': 42}"
63,velocity_min,0.5066666666666667,"{'C': 930.6461118231803, 'kernel': 'sigmoid', 'gamma': 315.3447918117889, 'degree': 4, 'coef0': 343.383939056817, 'random_state': 42}"
64,velocity_mean,0.6666666666666666,"{'C': 501.53141954405794, 'kernel': 'rbf', 'gamma': 1.358942831676046, 'degree': 2, 'coef0': 741.5472104996455, 'random_state': 42}"
65,velocity_median,0.6666666666666666,"{'C': 394.2137325966993, 'kernel': 'sigmoid', 'gamma': 736.5788726452731, 'degree': 5, 'coef0': 823.9401053106853, 'random_state': 42}"
66,velocity_variance,0.8266666666666667,"{'C': 49.80603805178926, 'kernel': 'sigmoid', 'gamma': 575.1817085584908, 'degree': 2, 'coef0': 502.22457895550326, 'random_state': 42}"
67,velocity_standard_deviation,0.8,"{'C': 980.4967735897859, 'kernel': 'sigmoid', 'gamma': 636.9489467055023, 'degree': 3, 'coef0': 964.7456760576293, 'random_state': 42}"
68,velocity_99th_percentile,0.8133333333333334,"{'C': 187.04893139569788, 'kernel': 'sigmoid', 'gamma': 615.5418505559473, 'degree': 5, 'coef0': 686.2950910977112, 'random_state': 42}"
69,velocity_displacement_between_99th_percentile_and_1st_percentile,0.8133333333333334,"{'C': 726.1981903046235, 'kernel': 'sigmoid', 'gamma': 327.7211176097807, 'degree': 1, 'coef0': 360.766592841041, 'random_state': 42}"
70,velocity_skewness,0.7066666666666667,"{'C': 524.0201692199939, 'kernel': 'sigmoid', 'gamma': 673.4229287563898, 'degree': 3, 'coef0': 18.921552162215733, 'random_state': 42}"
71,velocity_kurtosis,0.8133333333333334,"{'C': 148.060360554839, 'kernel': 'sigmoid', 'gamma': 251.60306500058593, 'degree': 4, 'coef0': 74.67793580164329, 'random_state': 42}"
72,x_displacement_max,0.64,"{'C': 0.7022909690084855, 'kernel': 'rbf', 'gamma': 56.35113305827534, 'degree': 3, 'coef0': 608.9595896349507, 'random_state': 42}"
73,x_displacement_mean,0.76,"{'C': 753.0162168164746, 'kernel': 'sigmoid', 'gamma': 880.654963885115, 'degree': 2, 'coef0': 68.75959815642193, 'random_state': 42}"
74,x_displacement_median,0.6533333333333333,"{'C': 157.49924513434215, 'kernel': 'rbf', 'gamma': 0.171948083937589, 'degree': 3, 'coef0': 192.04770101794523, 'random_state': 42}"
75,x_displacement_variance,0.7066666666666667,"{'C': 776.1187306558585, 'kernel': 'rbf', 'gamma': 130.9313276077969, 'degree': 5, 'coef0': 590.5510445282732, 'random_state': 42}"
76,x_displacement_standard_deviation,0.64,"{'C': 449.3047495733154, 'kernel': 'rbf', 'gamma': 268.0941591796974, 'degree': 3, 'coef0': 714.9967118645441, 'random_state': 42}"
77,x_displacement_99th_percentile,0.7333333333333333,"{'C': 529.4548879248457, 'kernel': 'sigmoid', 'gamma': 518.419759259937, 'degree': 3, 'coef0': 747.0018404922854, 'random_state': 42}"
78,x_displacement_displacement_between_99th_percentile_and_1st_percentile,0.7466666666666667,"{'C': 26.848502081069753, 'kernel': 'sigmoid', 'gamma': 483.7692737365868, 'degree': 4, 'coef0': 693.873737524759, 'random_state': 42}"
79,x_displacement_skewness,0.6666666666666666,"{'C': 454.0256394858532, 'kernel': 'sigmoid', 'gamma': 851.1071511809545, 'degree': 3, 'coef0': 284.0986826609474, 'random_state': 42}"
80,x_displacement_kurtosis,0.6933333333333334,"{'C': 937.4551753675478, 'kernel': 'sigmoid', 'gamma': 982.5414668623172, 'degree': 4, 'coef0': 100.41756219360744, 'random_state': 42}"
81,x_velocity_max,0.7333333333333333,"{'C': 38.07255531752381, 'kernel': 'rbf', 'gamma': 15.253074112576588, 'degree': 5, 'coef0': 0.9180585052582302, 'random_state': 42}"
82,x_velocity_min,0.5066666666666667,"{'C': 591.0173062794441, 'kernel': 'sigmoid', 'gamma': 871.6313361254723, 'degree': 3, 'coef0': 899.7308634196945, 'random_state': 42}"
83,x_velocity_mean,0.72,"{'C': 597.2323020446235, 'kernel': 'sigmoid', 'gamma': 439.3760577256918, 'degree': 3, 'coef0': 477.8361814338204, 'random_state': 42}"
84,x_velocity_median,0.6666666666666666,"{'C': 773.1002147356709, 'kernel': 'sigmoid', 'gamma': 218.2003458185598, 'degree': 5, 'coef0': 160.3427141852593, 'random_state': 42}"
85,x_velocity_variance,0.7333333333333333,"{'C': 909.15045359773, 'kernel': 'sigmoid', 'gamma': 361.13894022738685, 'degree': 1, 'coef0': 573.7539369102927, 'random_state': 42}"
86,x_velocity_standard_deviation,0.6933333333333334,"{'C': 99.35603426707472, 'kernel': 'sigmoid', 'gamma': 398.5589191731942, 'degree': 2, 'coef0': 295.3990542596157, 'random_state': 42}"
87,x_velocity_99th_percentile,0.76,"{'C': 666.3204913529692, 'kernel': 'sigmoid', 'gamma': 774.8751349720418, 'degree': 5, 'coef0': 982.3472843617978, 'random_state': 42}"
