,feature,score,param
68,velocity_mean,0.6388888888888888,"{'C': 532.9926321995915, 'kernel': 'sigmoid', 'gamma': 350.8344924157431, 'degree': 2, 'coef0': 77.65082610432256, 'random_state': 42}"
69,velocity_median,0.7083333333333334,"{'C': 166.43485025195503, 'kernel': 'rbf', 'gamma': 30.774284520088624, 'degree': 5, 'coef0': 186.25805180730967, 'random_state': 42}"
70,velocity_variance,0.6944444444444444,"{'C': 601.1612960642058, 'kernel': 'sigmoid', 'gamma': 962.0470676142597, 'degree': 1, 'coef0': 169.62538396629225, 'random_state': 42}"
71,velocity_standard_deviation,0.6944444444444444,"{'C': 194.51228653650762, 'kernel': 'rbf', 'gamma': 528.8133755091468, 'degree': 1, 'coef0': 106.12419761119968, 'random_state': 42}"
72,velocity_1st_percentile,0.6527777777777778,"{'C': 179.89757326814646, 'kernel': 'rbf', 'gamma': 941.8707432547703, 'degree': 2, 'coef0': 961.6806347266729, 'random_state': 42}"
73,velocity_99th_percentile,0.6944444444444444,"{'C': 135.49467001376397, 'kernel': 'rbf', 'gamma': 17.887269497966848, 'degree': 5, 'coef0': 827.3511375100135, 'random_state': 42}"
74,velocity_displacement_between_99th_percentile_and_1st_percentile,0.625,"{'C': 207.0253636977015, 'kernel': 'sigmoid', 'gamma': 430.07036118960093, 'degree': 1, 'coef0': 903.406265116423, 'random_state': 42}"
75,velocity_skewness,0.8194444444444444,"{'C': 0.49669259280426625, 'kernel': 'sigmoid', 'gamma': 667.1928213985498, 'degree': 4, 'coef0': 307.9772158484286, 'random_state': 42}"
76,velocity_kurtosis,0.6666666666666666,"{'C': 999.8229307423017, 'kernel': 'sigmoid', 'gamma': 945.3951843385021, 'degree': 3, 'coef0': 947.2853206079319, 'random_state': 42}"
77,x_displacement_max,0.7222222222222222,"{'C': 230.3194533055867, 'kernel': 'sigmoid', 'gamma': 293.17332349287307, 'degree': 5, 'coef0': 528.4935558512823, 'random_state': 42}"
78,x_displacement_mean,0.6111111111111112,"{'C': 291.5511558449391, 'kernel': 'rbf', 'gamma': 800.2471221737806, 'degree': 4, 'coef0': 442.71099675281016, 'random_state': 42}"
79,x_displacement_median,0.6666666666666666,"{'C': 308.90934700467204, 'kernel': 'rbf', 'gamma': 2.86027866779921, 'degree': 1, 'coef0': 855.3267864461191, 'random_state': 42}"
80,x_displacement_variance,0.6805555555555556,"{'C': 308.16822015864483, 'kernel': 'sigmoid', 'gamma': 220.62622236118645, 'degree': 5, 'coef0': 711.6394442736178, 'random_state': 42}"
81,x_displacement_standard_deviation,0.7777777777777778,"{'C': 242.78891972385247, 'kernel': 'sigmoid', 'gamma': 235.38061545349126, 'degree': 4, 'coef0': 411.9981625139009, 'random_state': 42}"
82,x_displacement_99th_percentile,0.625,"{'C': 827.0707306221744, 'kernel': 'sigmoid', 'gamma': 420.54901317469626, 'degree': 3, 'coef0': 907.8470883847641, 'random_state': 42}"
83,x_displacement_displacement_between_99th_percentile_and_1st_percentile,0.625,"{'C': 843.8403409728911, 'kernel': 'sigmoid', 'gamma': 328.55235398632595, 'degree': 3, 'coef0': 881.1700541227235, 'random_state': 42}"
84,x_displacement_skewness,0.875,"{'C': 829.4854662338878, 'kernel': 'sigmoid', 'gamma': 906.8308532861929, 'degree': 5, 'coef0': 651.7757344126295, 'random_state': 42}"
85,x_displacement_kurtosis,0.7361111111111112,"{'C': 738.5993697977914, 'kernel': 'sigmoid', 'gamma': 560.6035583847507, 'degree': 3, 'coef0': 270.45177388311544, 'random_state': 42}"
86,x_velocity_max,0.875,"{'C': 116.67838576269745, 'kernel': 'sigmoid', 'gamma': 65.1972721416658, 'degree': 3, 'coef0': 268.3444508706421, 'random_state': 42}"
87,x_velocity_mean,0.6111111111111112,"{'C': 3.727756930328222, 'kernel': 'rbf', 'gamma': 50.95656942232572, 'degree': 4, 'coef0': 826.3722495865551, 'random_state': 42}"
88,x_velocity_median,0.6527777777777778,"{'C': 60.61986266895514, 'kernel': 'sigmoid', 'gamma': 278.85636011167327, 'degree': 2, 'coef0': 563.6143104352577, 'random_state': 42}"
89,x_velocity_variance,0.75,"{'C': 571.6902490856273, 'kernel': 'sigmoid', 'gamma': 392.253135117158, 'degree': 2, 'coef0': 778.9131258258915, 'random_state': 42}"
90,x_velocity_standard_deviation,0.8194444444444444,"{'C': 998.6677149733276, 'kernel': 'sigmoid', 'gamma': 300.91684611904884, 'degree': 3, 'coef0': 817.2883784473177, 'random_state': 42}"
91,x_velocity_99th_percentile,0.625,"{'C': 985.842587768952, 'kernel': 'sigmoid', 'gamma': 235.79639626779175, 'degree': 2, 'coef0': 650.2779161321026, 'random_state': 42}"
92,x_velocity_displacement_between_99th_percentile_and_1st_percentile,0.625,"{'C': 954.0225594620179, 'kernel': 'sigmoid', 'gamma': 285.156084064816, 'degree': 3, 'coef0': 664.1945829377869, 'random_state': 42}"
93,x_velocity_skewness,0.6527777777777778,"{'C': 350.768127216254, 'kernel': 'sigmoid', 'gamma': 325.49174428764184, 'degree': 3, 'coef0': 19.813486021539077, 'random_state': 42}"
94,x_velocity_kurtosis,0.6527777777777778,"{'C': 81.2080435388867, 'kernel': 'sigmoid', 'gamma': 670.0734349872807, 'degree': 1, 'coef0': 251.823072391811, 'random_state': 42}"
95,y_displacement_max,0.8055555555555556,"{'C': 281.7732487280592, 'kernel': 'sigmoid', 'gamma': 215.45766450040475, 'degree': 4, 'coef0': 541.3718454516861, 'random_state': 42}"
96,y_displacement_mean,0.7222222222222222,"{'C': 83.67058638663401, 'kernel': 'sigmoid', 'gamma': 997.9083637126631, 'degree': 3, 'coef0': 97.67084749414245, 'random_state': 42}"
97,y_displacement_median,0.6944444444444444,"{'C': 666.3991635298585, 'kernel': 'rbf', 'gamma': 242.26054027910584, 'degree': 4, 'coef0': 476.1496711936906, 'random_state': 42}"
98,y_displacement_variance,0.6666666666666666,"{'C': 20.889024988003367, 'kernel': 'rbf', 'gamma': 38.346228232839614, 'degree': 3, 'coef0': 512.368716016769, 'random_state': 42}"
99,y_displacement_standard_deviation,0.8194444444444444,"{'C': 0.31981665797528436, 'kernel': 'sigmoid', 'gamma': 327.2262635169176, 'degree': 4, 'coef0': 553.2666193421517, 'random_state': 42}"
100,y_displacement_99th_percentile,0.6111111111111112,"{'C': 339.7076563839713, 'kernel': 'rbf', 'gamma': 133.97841277867346, 'degree': 1, 'coef0': 40.200997997380156, 'random_state': 42}"
101,y_displacement_displacement_between_99th_percentile_and_1st_percentile,0.6111111111111112,"{'C': 445.9333515976042, 'kernel': 'rbf', 'gamma': 130.39862649947298, 'degree': 5, 'coef0': 481.837401983277, 'random_state': 42}"
102,y_displacement_skewness,0.6111111111111112,"{'C': 755.4638837051644, 'kernel': 'rbf', 'gamma': 207.02101863609897, 'degree': 5, 'coef0': 683.949431630496, 'random_state': 42}"
103,y_displacement_kurtosis,0.6666666666666666,"{'C': 534.6502922874824, 'kernel': 'sigmoid', 'gamma': 617.932313024364, 'degree': 4, 'coef0': 605.6712561856658, 'random_state': 42}"
104,y_velocity_max,0.75,"{'C': 742.1183266995506, 'kernel': 'sigmoid', 'gamma': 270.5023047266531, 'degree': 2, 'coef0': 619.3343346777519, 'random_state': 42}"
105,y_velocity_mean,0.6805555555555556,"{'C': 720.0068029689651, 'kernel': 'sigmoid', 'gamma': 901.0852298141765, 'degree': 3, 'coef0': 60.800954924801644, 'random_state': 42}"
106,y_velocity_median,0.6944444444444444,"{'C': 760.1117927109392, 'kernel': 'rbf', 'gamma': 2.948572700213134, 'degree': 2, 'coef0': 906.0686479090089, 'random_state': 42}"
107,y_velocity_variance,0.6944444444444444,"{'C': 67.79085331369032, 'kernel': 'rbf', 'gamma': 27.538615372325644, 'degree': 3, 'coef0': 805.6337070645634, 'random_state': 42}"
108,y_velocity_standard_deviation,0.7083333333333334,"{'C': 5.107672808069076, 'kernel': 'rbf', 'gamma': 19.348826893700377, 'degree': 3, 'coef0': 712.9195492174254, 'random_state': 42}"
109,y_velocity_99th_percentile,0.6111111111111112,"{'C': 890.93403281282, 'kernel': 'sigmoid', 'gamma': 441.258052686428, 'degree': 1, 'coef0': 782.1590645060074, 'random_state': 42}"
110,y_velocity_displacement_between_99th_percentile_and_1st_percentile,0.6527777777777778,"{'C': 983.5210316283682, 'kernel': 'rbf', 'gamma': 13.121799861019914, 'degree': 1, 'coef0': 404.6738632544789, 'random_state': 42}"
111,y_velocity_skewness,0.6944444444444444,"{'C': 169.86289037565354, 'kernel': 'sigmoid', 'gamma': 917.2103828357931, 'degree': 2, 'coef0': 405.6877349619061, 'random_state': 42}"
112,y_velocity_kurtosis,0.6805555555555556,"{'C': 3.4848069728289914, 'kernel': 'rbf', 'gamma': 27.03294003692341, 'degree': 3, 'coef0': 153.92687761312314, 'random_state': 42}"
113,x_displacement_no_abs_max,0.6527777777777778,"{'C': 251.11323398569033, 'kernel': 'rbf', 'gamma': 921.2929410472814, 'degree': 5, 'coef0': 81.35467508692112, 'random_state': 42}"
114,x_displacement_no_abs_min,0.9166666666666666,"{'C': 809.8656945537281, 'kernel': 'sigmoid', 'gamma': 216.99303336667043, 'degree': 5, 'coef0': 628.1724084227632, 'random_state': 42}"
115,x_displacement_no_abs_mean,0.7222222222222222,"{'C': 13.74020877523688, 'kernel': 'sigmoid', 'gamma': 615.1083573396575, 'degree': 5, 'coef0': 528.0166863751341, 'random_state': 42}"
116,x_displacement_no_abs_median,0.5694444444444444,"{'C': 351.8903485847492, 'kernel': 'sigmoid', 'gamma': 356.27293682880776, 'degree': 4, 'coef0': 882.792580996337, 'random_state': 42}"
117,x_displacement_no_abs_variance,0.875,"{'C': 258.33384365592184, 'kernel': 'sigmoid', 'gamma': 251.95171270315603, 'degree': 5, 'coef0': 510.25406577185527, 'random_state': 42}"
118,x_displacement_no_abs_standard_deviation,0.6944444444444444,"{'C': 861.081608309509, 'kernel': 'sigmoid', 'gamma': 231.28738692155056, 'degree': 4, 'coef0': 535.8872523851264, 'random_state': 42}"
119,x_displacement_no_abs_1st_percentile,0.625,"{'C': 152.71103403273807, 'kernel': 'rbf', 'gamma': 19.52221972188861, 'degree': 3, 'coef0': 421.8655970726267, 'random_state': 42}"
